# rc=0
— timings-staging/hafs/hamza.01f734d9.jz  (بصمة 01f734d9df7d135f…)
    سورة 1:1  startMs=13624  endMs=18762  المدّة=5138م.ث
    سورة 2:1  startMs=9580  endMs=12650  المدّة=3070م.ث
    سورة 18:1  startMs=4840  endMs=15570  المدّة=10730م.ث
    سورة 36:1  startMs=4580  endMs=8930  المدّة=4350م.ث
    سورة 44:1  startMs=3980  endMs=10420  المدّة=6440م.ث
    سورة 45:1  startMs=0  endMs=7840  المدّة=7840م.ث
    سورة 46:1  ⛔ لا مدخل
    سورة 72:1  startMs=3960  endMs=16430  المدّة=12470م.ث
    سورة 73:1  startMs=0  endMs=5365  المدّة=5365م.ث
    سورة 74:1  startMs=4660  endMs=8020  المدّة=3360م.ث
    سورة 106:1  startMs=5680  endMs=9533  المدّة=3853م.ث
    سورة 107:1  startMs=0  endMs=5513  المدّة=5513م.ث
    سورة 108:1  startMs=5348  endMs=10430  المدّة=5082م.ث
    سورة 114:1  startMs=5633  endMs=9950  المدّة=4317م.ث
