# rc=0
   ⏸️ a_binaoun: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/a_binaoun.bad5ed03.jz: الحكم 'مرفوض (مجمَّع 10.2% ≥ 5%)' لا 'مقبول'
   ⏸️ a_klb: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/a_klb.030c9bdc.jz: الحكم 'مرفوض (مجمَّع 6.5% ≥ 5%)' لا 'مقبول'
   ⏸️ nufais: لم يمرّ بعدُ — أحكامٌ مقروءة: 0 · مرشّحون: 0 · مرفوضون: 0
   ⏸️ yahya: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/yahya.dd4d2117.jz: الهدف مجمَّد — يُرفع بـ`--unfreeze <المفتاح> --reason <السبب>` (‏D-183: أمرُ المالك 2026-09-04 — الوكيل يرفعه بنفسه، والسببُ المكتوب والسطرُ المشطوب هما الحارس لا يدُ إنسان)
   ⏸️ iraoui_warsh: لم يمرّ بعدُ —   ⛔ timings-staging/warsh/iraoui_warsh.39f4ace4.jz: خلل بنيوي: 1
   ⏸️ twfeeq: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/twfeeq.6e1e8d01.jz: الهدف مجمَّد — يُرفع بـ`--unfreeze <المفتاح> --reason <السبب>` (‏D-183: أمرُ المالك 2026-09-04 — الوكيل يرفعه بنفسه، والسببُ المكتوب والسطرُ المشطوب هما الحارس لا يدُ إنسان)
   ⏸️ h_aldaghriri: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/h_aldaghriri.fdfc1201.jz: الهدف مجمَّد — يُرفع بـ`--unfreeze <المفتاح> --reason <السبب>` (‏D-183: أمرُ المالك 2026-09-04 — الوكيل يرفعه بنفسه، والسببُ المكتوب والسطرُ المشطوب هما الحارس لا يدُ إنسان)
   ⏸️ kyat: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/kyat.36ec670e.jz: الهدف مجمَّد — يُرفع بـ`--unfreeze <المفتاح> --reason <السبب>` (‏D-183: أمرُ المالك 2026-09-04 — الوكيل يرفعه بنفسه، والسببُ المكتوب والسطرُ المشطوب هما الحارس لا يدُ إنسان)
   ⏸️ i_sanankoua: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/i_sanankoua.d42461a1.jz: خلل بنيوي: 2
   ⏸️ hamza: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/hamza.0937dd71.jz: خلل بنيوي: 2
   ⏸️ khalf: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/khalf.658ec6af.jz: خلل بنيوي: 2
   ⏸️ m_qari: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/m_qari.c2e0249b.jz: خلل بنيوي: 3
   ⏸️ kh_mohammadi: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/kh_mohammadi.9675e8d6.jz: خلل بنيوي: 2
   ⏸️ darweez: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/darweez.5472e502.jz: الهدف مجمَّد — يُرفع بـ`--unfreeze <المفتاح> --reason <السبب>` (‏D-183: أمرُ المالك 2026-09-04 — الوكيل يرفعه بنفسه، والسببُ المكتوب والسطرُ المشطوب هما الحارس لا يدُ إنسان)
   ⏸️ mansor: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/mansor.5358da1a.jz: خلل بنيوي: 2
   ⏸️ mrifai: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/mrifai.6ca31255.jz: الحكم 'حدّي (مجمَّع 4.4% والحدّ الأعلى 5.1% > 5%)' لا 'مقبول'
   ⏸️ akri_qalun: لم يمرّ بعدُ —   ⛔ timings-staging/qalun/akri_qalun.2e5e1f02.jz: إسقاطُ س24 (64 آية) يخالف تعديلَ D-186 — لا إسقاط لما زاد على 20 آية إلا بإذنٍ نصّيّ
   ⏸️ mohsin_harthi: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/mohsin_harthi.c160cb42.jz: خلل بنيوي: 2
   ⏸️ jamal: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/jamal.55f87404.jz: خلل بنيوي: 11
   ⏸️ mohna: لم يمرّ بعدُ — أحكامٌ مقروءة: 0 · مرشّحون: 0 · مرفوضون: 0
   ⏸️ hafz: لم يمرّ بعدُ —   ⛔ timings-staging/hafs/hafz.e3761107.jz: خلل بنيوي: 2
