# معرّفنا	الرواية	read	قالب الصوت	حالتنا (none=لا فهرس منشور ⇒ الأولوية)
# مستخرَجة من docs/qa/AYAH_SOURCES_SURVEY_2026-09-05.md (وكيل المشرف github-10)
a_turki	hafs	282	https://server16.mp3quran.net/a_turki/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	none
aloosi	hafs	225	https://server6.mp3quran.net/aloosi/{s:03d}.mp3	none
alzain	hafs	13	https://server9.mp3quran.net/alzain/{s:03d}.mp3	none
buajan	hafs	58	https://server8.mp3quran.net/buajan/{s:03d}.mp3	none
h_saleh	hafs	299	https://server16.mp3quran.net/h_saleh/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	none
habdan	hafs	42	https://server6.mp3quran.net/habdan/{s:03d}.mp3	none
hkm	hafs	39	https://server12.mp3quran.net/hkm/{s:03d}.mp3	none
jaleel	hafs	20	https://server10.mp3quran.net/jleel/{s:03d}.mp3	none
jaman	hafs	181	https://server6.mp3quran.net/jaman/{s:03d}.mp3	none
kanakeri	hafs	70	https://server6.mp3quran.net/kanakeri/{s:03d}.mp3	none
m_burhaji	hafs	340	https://server16.mp3quran.net/M_Burhaji/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	none
mousa	hafs	243	https://server14.mp3quran.net/mousa/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	none
namh	hafs	88	https://server8.mp3quran.net/namh/{s:03d}.mp3	none
noah	hafs	193	https://server8.mp3quran.net/noah/{s:03d}.mp3	none
obk	hafs	69	https://server12.mp3quran.net/obk/{s:03d}.mp3	none
peshawa	hafs	268	https://server16.mp3quran.net/peshawa/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	none
qasm	hafs	67	https://server8.mp3quran.net/qasm/{s:03d}.mp3	none
ryan	hafs	48	https://server8.mp3quran.net/ryan/{s:03d}.mp3	none
shah	hafs	110	https://server12.mp3quran.net/shah/{s:03d}.mp3	none
shamrani	hafs	300	https://server16.mp3quran.net/shamrani/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	none
taher	hafs	38	https://server12.mp3quran.net/taher/{s:03d}.mp3	none
thubti	hafs	49	https://server6.mp3quran.net/thubti/{s:03d}.mp3	none
3siri	hafs	3	https://server6.mp3quran.net/3siri/{s:03d}.mp3	pub
a_ahmed	hafs	55	https://server11.mp3quran.net/a_ahmed/{s:03d}.mp3	pub
a_alemadi	hafs	314	https://server16.mp3quran.net/a_alemadi/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
a_maasaraawi	hafs	289	https://server16.mp3quran.net/a_maasaraawi/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
a_majed	hafs	236	https://server10.mp3quran.net/a_majed/{s:03d}.mp3	pub
aamer	hafs	203	https://server10.mp3quran.net/Aamer/{s:03d}.mp3	pub
abkar	hafs	12	https://server6.mp3quran.net/abkr/{s:03d}.mp3	pub
afs	hafs	123	https://server8.mp3quran.net/afs/{s:03d}.mp3	pub
akdr	hafs	1	https://server6.mp3quran.net/akdr/{s:03d}.mp3	pub
arkani	hafs	72	https://server6.mp3quran.net/arkani/{s:03d}.mp3	pub
balilah	hafs	217	https://server6.mp3quran.net/balilah/{s:03d}.mp3	pub
bari	hafs	50	https://server12.mp3quran.net/bari/{s:03d}.mp3	pub
bukheet	hafs	250	https://server14.mp3quran.net/bukheet/{s:03d}.mp3	pub
deban	hafs	265	https://server16.mp3quran.net/deban/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
dokali	qalun	208	https://server7.mp3quran.net/dokali/{s:03d}.mp3	pub
h_aldaghriri	hafs	10905	https://server16.mp3quran.net/H-Aldaghriri/Rewayat-Hafs-A-n-Assem/{s:03d}.mp3	pub
hafz	hafs	78	https://server6.mp3quran.net/hafz/{s:03d}.mp3	pub
hamza	hafs	25	https://server9.mp3quran.net/hamza/{s:03d}.mp3	pub
hawashi	hafs	6	https://server11.mp3quran.net/hawashi/{s:03d}.mp3	pub
husary_douri	douri	269	https://server13.mp3quran.net/husr/Rewayat-Aldori-A-n-Abi-Amr/{s:03d}.mp3	pub
husary_qalun	qalun	270	https://server13.mp3quran.net/husr/Rewayat-Qalon-A-n-Nafi/{s:03d}.mp3	pub
husary_warsh	warsh	120	https://server13.mp3quran.net/husr/Rewayat-Warsh-A-n-Nafi/{s:03d}.mp3	pub
huthaify_qalun	qalun	75	https://server9.mp3quran.net/huthifi_qalon/{s:03d}.mp3	pub
huthaify_shuba	shuba	305	https://server9.mp3quran.net/hthfi/Rewayat-Sho-bah-A-n-Asim/{s:03d}.mp3	pub
